customerid,contract,total_charges,monthly_charges,tenure,tenure_bucket,churn_flag,payment_method,calls_last_90d,unresolved_calls_90d,avg_resolution_time,avg_payment,missing_method_count,last_payment_date
7590-VHVEG,month-to-month,29.85,29.85,1,0-6,False,Electronic check,,,,29.85,0,2022-12-11
5575-GNVDE,one year,1889.5,56.95,34,24-48,False,Mailed check,,,,56.95,0,2022-12-03
3668-QPYBK,month-to-month,108.15,53.85,2,0-6,True,Mailed check,,,,53.85,0,2022-12-06
7795-CFOCW,one year,1840.75,42.3,45,24-48,False,Bank transfer (automatic),,,,42.3,0,2022-12-25
9237-HQITU,month-to-month,151.65,70.7,2,0-6,True,Electronic check,,,,70.7,0,2022-12-20
9305-CDSKC,month-to-month,820.5,99.65,8,6-12,True,Electronic check,1.0,0.0,30.25,99.65,0,2022-12-24
1452-KIOVK,month-to-month,1949.4,89.1,22,12-24,False,Credit card (automatic),,,,89.1,0,2022-12-03
6713-OKOMC,month-to-month,301.9,29.75,10,6-12,False,Mailed check,,,,29.75,0,2022-12-26
7892-POOKP,month-to-month,3046.05,104.8,28,24-48,True,Electronic check,,,,104.8,0,2022-12-22
6388-TABGU,one year,3487.95,56.15,62,48+,False,Bank transfer (automatic),,,,56.15,0,2022-12-12
9763-GRSKD,month-to-month,587.45,49.95,13,12-24,False,Mailed check,,,,49.95,0,2022-12-13
7469-LKBCI,two year,326.8,18.95,16,12-24,False,Credit card (automatic),,,,18.95,0,2022-12-19
8091-TTVAX,one year,5681.1,100.35,58,48+,False,Credit card (automatic),,,,100.35,0,2022-12-02
0280-XJGEX,month-to-month,5036.3,103.7,49,48+,True,Bank transfer (automatic),,,,103.7,0,2022-12-24
5129-JLPIS,month-to-month,2686.05,105.5,25,24-48,False,Electronic check,,,,105.5,0,2022-12-07
3655-SNQYZ,two year,7895.15,113.25,69,48+,False,Credit card (automatic),,,,113.25,0,2022-12-25
8191-XWSZG,one year,1022.95,20.65,52,48+,False,Mailed check,,,,20.65,0,2022-12-27
9959-WOFKT,two year,7382.25,106.7,71,48+,False,Bank transfer (automatic),,,,106.7,0,2022-12-04
4190-MFLUW,month-to-month,528.35,55.2,10,6-12,True,Credit card (automatic),,,,55.2,0,2022-12-18
4183-MYFRB,month-to-month,1862.9,90.05,21,12-24,False,Electronic check,,,,90.05,0,2022-12-19
8779-QRDMV,month-to-month,39.65,39.65,1,0-6,True,Electronic check,,,,39.65,0,2022-12-23
1680-VDCWW,one year,202.25,19.8,12,12-24,False,Bank transfer (automatic),0.0,0.0,8.0,19.8,0,2022-12-12
1066-JKSGK,month-to-month,20.15,20.15,1,0-6,True,Mailed check,,,,20.15,0,2022-12-19
