customerID,payment_date,amount,method
7590-VHVEG,2022-01-17,29.85,Cash
7590-VHVEG,2022-02-08,29.85,Cash
7590-VHVEG,2022-03-26,29.85, Bank Transfer
7590-VHVEG,2022-04-08,29.85, Bank Transfer
7590-VHVEG,2022-05-04,29.85,Cash
7590-VHVEG,2022-06-01,29.85,Direct Debit
7590-VHVEG,2022-07-23,29.85,Direct Debit
7590-VHVEG,2022-08-02,29.85, Bank Transfer
7590-VHVEG,2022-09-28,29.85,Credit Card
7590-VHVEG,2022-10-19,29.85,Credit Card
7590-VHVEG,2022-11-10,29.85,Credit Card
7590-VHVEG,2022-12-11,29.85,Credit Card
5575-GNVDE,2022-01-17,56.95, Bank Transfer
5575-GNVDE,2022-02-15,56.95, Bank Transfer
5575-GNVDE,2022-03-17,56.95,Credit Card
5575-GNVDE,2022-04-08,56.95, Bank Transfer
5575-GNVDE,2022-05-12,56.95,Credit Card
5575-GNVDE,2022-06-24,56.95,Cash
5575-GNVDE,2022-07-14,56.95,Cash
5575-GNVDE,2022-08-12,56.95,Cash
5575-GNVDE,2022-09-13,56.95,Cash
5575-GNVDE,2022-10-02,56.95,Direct Debit
5575-GNVDE,2022-11-12,56.95,Direct Debit
5575-GNVDE,2022-12-03,56.95,Cash
3668-QPYBK,2022-01-20,53.85,Cash
3668-QPYBK,2022-02-16,53.85,Credit Card
3668-QPYBK,2022-03-03,53.85,Credit Card
3668-QPYBK,2022-04-27,53.85,Credit Card
3668-QPYBK,2022-05-12,53.85, Bank Transfer
3668-QPYBK,2022-06-24,53.85, Bank Transfer
3668-QPYBK,2022-07-11,53.85, Bank Transfer
3668-QPYBK,2022-08-09,53.85,Credit Card
3668-QPYBK,2022-09-28,53.85,Cash
3668-QPYBK,2022-10-16,53.85,Direct Debit
3668-QPYBK,2022-11-21,53.85, Bank Transfer
3668-QPYBK,2022-12-06,53.85,Direct Debit
7795-CFOCW,2022-01-03,42.3, Bank Transfer
7795-CFOCW,2022-02-11,42.3, Bank Transfer
7795-CFOCW,2022-03-06,42.3,Cash
7795-CFOCW,2022-04-17,42.3, Bank Transfer
7795-CFOCW,2022-05-18,42.3,Cash
7795-CFOCW,2022-06-11,42.3,Cash
7795-CFOCW,2022-07-23,42.3,Cash
7795-CFOCW,2022-08-11,42.3, Bank Transfer
7795-CFOCW,2022-09-27,42.3,Credit Card
7795-CFOCW,2022-10-27,42.3, Bank Transfer
7795-CFOCW,2022-11-09,42.3,Cash
7795-CFOCW,2022-12-25,42.3,Direct Debit
9237-HQITU,2022-01-01,70.7,Cash
9237-HQITU,2022-02-08,70.7, Bank Transfer
9237-HQITU,2022-03-06,70.7,Cash
9237-HQITU,2022-04-14,70.7,Direct Debit
9237-HQITU,2022-05-05,70.7, Bank Transfer
9237-HQITU,2022-06-15,70.7, Bank Transfer
9237-HQITU,2022-07-19,70.7, Bank Transfer
9237-HQITU,2022-08-08,70.7,Direct Debit
9237-HQITU,2022-09-17,70.7,Cash
9237-HQITU,2022-10-20,70.7,Cash
9237-HQITU,2022-11-20,70.7,Credit Card
9237-HQITU,2022-12-20,70.7,Cash
9305-CDSKC,2022-01-21,99.65,Direct Debit
9305-CDSKC,2022-02-13,99.65,Direct Debit
9305-CDSKC,2022-03-28,99.65,Credit Card
9305-CDSKC,2022-04-03,99.65,Credit Card
9305-CDSKC,2022-05-20,99.65,Direct Debit
9305-CDSKC,2022-06-12,99.65,Credit Card
9305-CDSKC,2022-07-15,99.65, Bank Transfer
9305-CDSKC,2022-08-05,99.65, Bank Transfer
9305-CDSKC,2022-09-20,99.65, Bank Transfer
9305-CDSKC,2022-10-18,99.65, Bank Transfer
9305-CDSKC,2022-11-02,99.65,Direct Debit
9305-CDSKC,2022-12-24,99.65,Credit Card
1452-KIOVK,2022-01-23,89.1,Cash
1452-KIOVK,2022-02-21,89.1, Bank Transfer
1452-KIOVK,2022-03-12,89.1,Cash
1452-KIOVK,2022-04-04,89.1,Direct Debit
1452-KIOVK,2022-05-14,89.1,Credit Card
1452-KIOVK,2022-06-01,89.1,Credit Card
1452-KIOVK,2022-07-21,89.1, Bank Transfer
1452-KIOVK,2022-08-13,89.1,Cash
1452-KIOVK,2022-09-14,89.1,Cash
1452-KIOVK,2022-10-13,89.1, Bank Transfer
1452-KIOVK,2022-11-18,89.1,Direct Debit
1452-KIOVK,2022-12-03,89.1,Direct Debit
6713-OKOMC,2022-01-04,29.75,Direct Debit
6713-OKOMC,2022-02-24,29.75,Direct Debit
6713-OKOMC,2022-03-04,29.75, Bank Transfer
6713-OKOMC,2022-04-10,29.75,Direct Debit
6713-OKOMC,2022-05-23,29.75, Bank Transfer
6713-OKOMC,2022-06-16,29.75,Credit Card
6713-OKOMC,2022-07-17,29.75,Credit Card
6713-OKOMC,2022-08-10,29.75, Bank Transfer
6713-OKOMC,2022-09-03,29.75,Cash
6713-OKOMC,2022-10-12,29.75,Direct Debit
6713-OKOMC,2022-11-25,29.75,Credit Card
6713-OKOMC,2022-12-26,29.75, Bank Transfer
7892-POOKP,2022-01-21,104.8,Credit Card
7892-POOKP,2022-02-08,104.8, Bank Transfer
7892-POOKP,2022-03-17,104.8, Bank Transfer
7892-POOKP,2022-04-08,104.8, Bank Transfer
7892-POOKP,2022-05-01,104.8,Cash
7892-POOKP,2022-06-11,104.8, Bank Transfer
7892-POOKP,2022-07-19,104.8,Cash
7892-POOKP,2022-08-01,104.8,Cash
7892-POOKP,2022-09-08,104.8,Cash
7892-POOKP,2022-10-22,104.8,Cash
7892-POOKP,2022-11-17,104.8,Cash
7892-POOKP,2022-12-22,104.8,Direct Debit
6388-TABGU,2022-01-24,56.15,Credit Card
6388-TABGU,2022-02-13,56.15, Bank Transfer
6388-TABGU,2022-03-19,56.15,Cash
6388-TABGU,2022-04-08,56.15,Direct Debit
6388-TABGU,2022-05-15,56.15, Bank Transfer
6388-TABGU,2022-06-14,56.15,Direct Debit
6388-TABGU,2022-07-02,56.15,Cash
6388-TABGU,2022-08-22,56.15,Direct Debit
6388-TABGU,2022-09-10,56.15,Cash
6388-TABGU,2022-10-04,56.15, Bank Transfer
6388-TABGU,2022-11-24,56.15, Bank Transfer
6388-TABGU,2022-12-12,56.15,Direct Debit
9763-GRSKD,2022-01-09,49.95,Direct Debit
9763-GRSKD,2022-02-14,49.95, Bank Transfer
9763-GRSKD,2022-03-16,49.95,Direct Debit
9763-GRSKD,2022-04-25,49.95, Bank Transfer
9763-GRSKD,2022-05-28,49.95,Credit Card
9763-GRSKD,2022-06-07,49.95, Bank Transfer
9763-GRSKD,2022-07-08,49.95,Cash
9763-GRSKD,2022-08-11,49.95,Credit Card
9763-GRSKD,2022-09-06,49.95,Credit Card
9763-GRSKD,2022-10-23,49.95,Cash
9763-GRSKD,2022-11-16,49.95,Direct Debit
9763-GRSKD,2022-12-13,49.95,Credit Card
7469-LKBCI,2022-01-09,18.95,Credit Card
7469-LKBCI,2022-02-11,18.95, Bank Transfer
7469-LKBCI,2022-03-04,18.95,Direct Debit
7469-LKBCI,2022-04-06,18.95,Cash
7469-LKBCI,2022-05-22,18.95, Bank Transfer
7469-LKBCI,2022-06-17,18.95,Credit Card
7469-LKBCI,2022-07-08,18.95,Direct Debit
7469-LKBCI,2022-08-27,18.95,Credit Card
7469-LKBCI,2022-09-02,18.95,Credit Card
7469-LKBCI,2022-10-11,18.95,Credit Card
7469-LKBCI,2022-11-15,18.95, Bank Transfer
7469-LKBCI,2022-12-19,18.95,Direct Debit
8091-TTVAX,2022-01-01,100.35,Direct Debit
8091-TTVAX,2022-02-10,100.35, Bank Transfer
8091-TTVAX,2022-03-15,100.35,Cash
8091-TTVAX,2022-04-12,100.35, Bank Transfer
8091-TTVAX,2022-05-10,100.35,Credit Card
8091-TTVAX,2022-06-14,100.35,Credit Card
8091-TTVAX,2022-07-28,100.35, Bank Transfer
8091-TTVAX,2022-08-15,100.35,Cash
8091-TTVAX,2022-09-10,100.35, Bank Transfer
8091-TTVAX,2022-10-17,100.35,Cash
8091-TTVAX,2022-11-15,100.35,Direct Debit
8091-TTVAX,2022-12-02,100.35,Cash
0280-XJGEX,2022-01-07,103.7,Credit Card
0280-XJGEX,2022-02-05,103.7,Cash
0280-XJGEX,2022-03-27,103.7,Credit Card
0280-XJGEX,2022-04-20,103.7, Bank Transfer
0280-XJGEX,2022-05-12,103.7,Cash
0280-XJGEX,2022-06-12,103.7,Cash
0280-XJGEX,2022-07-12,103.7,Credit Card
0280-XJGEX,2022-08-13,103.7,Credit Card
0280-XJGEX,2022-09-05,103.7,Credit Card
0280-XJGEX,2022-10-28,103.7,Cash
0280-XJGEX,2022-11-12,103.7, Bank Transfer
0280-XJGEX,2022-12-24,103.7, Bank Transfer
5129-JLPIS,2022-01-13,105.5,Cash
5129-JLPIS,2022-02-08,105.5,Cash
5129-JLPIS,2022-03-05,105.5,Direct Debit
5129-JLPIS,2022-04-17,105.5, Bank Transfer
5129-JLPIS,2022-05-12,105.5,Cash
5129-JLPIS,2022-06-15,105.5,Cash
5129-JLPIS,2022-07-13,105.5, Bank Transfer
5129-JLPIS,2022-08-11,105.5,Credit Card
5129-JLPIS,2022-09-20,105.5,Cash
5129-JLPIS,2022-10-28,105.5,Credit Card
5129-JLPIS,2022-11-27,105.5,Credit Card
5129-JLPIS,2022-12-07,105.5,Direct Debit
3655-SNQYZ,2022-01-04,113.25,Credit Card
3655-SNQYZ,2022-02-02,113.25,Credit Card
3655-SNQYZ,2022-03-26,113.25,Credit Card
3655-SNQYZ,2022-04-18,113.25,Direct Debit
3655-SNQYZ,2022-05-03,113.25, Bank Transfer
3655-SNQYZ,2022-06-23,113.25, Bank Transfer
3655-SNQYZ,2022-07-13,113.25, Bank Transfer
3655-SNQYZ,2022-08-08,113.25,Credit Card
3655-SNQYZ,2022-09-16,113.25,Cash
3655-SNQYZ,2022-10-17,113.25,Direct Debit
3655-SNQYZ,2022-11-24,113.25,Direct Debit
3655-SNQYZ,2022-12-25,113.25,Credit Card
8191-XWSZG,2022-01-09,20.65,Credit Card
8191-XWSZG,2022-02-02,20.65, Bank Transfer
8191-XWSZG,2022-03-25,20.65, Bank Transfer
8191-XWSZG,2022-04-28,20.65,Credit Card
8191-XWSZG,2022-05-19,20.65, Bank Transfer
8191-XWSZG,2022-06-26,20.65,Cash
8191-XWSZG,2022-07-20,20.65,Cash
8191-XWSZG,2022-08-03,20.65, Bank Transfer
8191-XWSZG,2022-09-27,20.65, Bank Transfer
8191-XWSZG,2022-10-14,20.65,Credit Card
8191-XWSZG,2022-11-24,20.65,Direct Debit
8191-XWSZG,2022-12-27,20.65,Credit Card
9959-WOFKT,2022-01-08,106.7,Credit Card
9959-WOFKT,2022-02-13,106.7,Direct Debit
9959-WOFKT,2022-03-21,106.7,Direct Debit
9959-WOFKT,2022-04-17,106.7, Bank Transfer
9959-WOFKT,2022-05-23,106.7,Direct Debit
9959-WOFKT,2022-06-17,106.7,Cash
9959-WOFKT,2022-07-14,106.7,Direct Debit
9959-WOFKT,2022-08-04,106.7,Cash
9959-WOFKT,2022-09-10,106.7,Direct Debit
9959-WOFKT,2022-10-15,106.7,Cash
9959-WOFKT,2022-11-15,106.7,Direct Debit
