customerID,call_date,issue_type,resolution_time,resolved
7596-ZYWBB,1/10/2022,Billing,18,Yes
7596-ZYWBB,2/18/2022,Technical,39,No
7596-ZYWBB,9/14/2022,Contract,20,Yes
7596-ZYWBB,1/3/2022,Billing,45,Yes
5419-JKZNQ,8/1/2022,Other,22,No
5419-JKZNQ,4/14/2022,Billing,60,Yes
6164-HAQTX,10/6/2022,Other,24,No
6164-HAQTX,3/5/2022,Other,22,Yes
6164-HAQTX,12/9/2022,Other,52,Yes
6655-LHBYW,2/21/2022,Billing,53,Yes
6655-LHBYW,2/2/2022,Billing,22,No
4667-OHGKG,5/7/2022,Contract,25,Yes
4667-OHGKG,12/27/2022,Technical,38,No
4667-OHGKG,7/17/2022,Other,50,Yes
4667-OHGKG,8/27/2022,Technical,40,No
1432-FPAXX,12/17/2022,Billing,49,Yes
8902-ZEOVF,10/4/2022,Billing,38,Yes
8902-ZEOVF,8/8/2022,Billing,52,No
8902-ZEOVF,1/21/2022,Billing,31,No
8902-ZEOVF,7/30/2022,Other,40,Yes
4847-TAJYI,5/29/2022,Contract,14,Yes
4847-TAJYI,6/23/2022,Technical,21,No
4847-TAJYI,3/20/2022,Contract,6,Yes
4847-TAJYI,10/5/2022,Contract,35,Yes
4360-PNRQB,9/14/2022,Other,44,No
9932-WBWIK,8/30/2022,Other,55,Yes
9932-WBWIK,3/25/2022,Other,46,No
9932-WBWIK,5/31/2022,Technical,54,No
9932-WBWIK,3/19/2022,Billing,24,No
9932-WBWIK,5/22/2022,Technical,13,Yes
4381-MHQDC,1/2/2022,Other,56,No
4381-MHQDC,6/18/2022,Billing,15,No
4381-MHQDC,5/2/2022,Technical,10,Yes
4381-MHQDC,11/9/2022,Technical,30,No
8066-POXGX,12/1/2022,Technical,47,Yes
8066-POXGX,8/11/2022,Billing,49,Yes
8066-POXGX,2/8/2022,Technical,46,No
5501-TVMGM,12/28/2022,Contract,54,No
5501-TVMGM,8/15/2022,Billing,54,Yes
5501-TVMGM,10/11/2022,Billing,29,Yes
5501-TVMGM,12/31/2022,Billing,44,Yes
5501-TVMGM,1/26/2022,Contract,52,Yes
4983-CCWMC,3/16/2022,Technical,43,No
4983-CCWMC,9/12/2022,Billing,46,No
3097-IDVPU,12/27/2022,Technical,25,Yes
3097-IDVPU,5/12/2022,Other,20,No
3097-IDVPU,10/17/2022,Other,32,No
3097-IDVPU,12/24/2022,Contract,23,Yes
9578-FOMUK,7/15/2022,Other,23,No
9578-FOMUK,12/3/2022,Technical,11,Yes
9578-FOMUK,7/7/2022,Contract,34,Yes
9571-EDEBV,8/17/2022,Contract,46,No
9571-EDEBV,1/23/2022,Billing,44,No
5442-XSDCW,12/30/2022,Other,16,No
5442-XSDCW,8/31/2022,Contract,12,No
5442-XSDCW,2/18/2022,Technical,55,No
5442-XSDCW,2/2/2022,Technical,41,No
5442-XSDCW,10/22/2022,Contract,13,Yes
5135-GRQJV,8/15/2022,Technical,44,Yes
2101-RANCD,2/28/2022,Other,55,No
2101-RANCD,11/25/2022,Other,24,No
2101-RANCD,12/11/2022,Other,18,Yes
2101-RANCD,5/21/2022,Technical,30,Yes
4903-UYAVB,4/26/2022,Contract,26,No
6615-NGGZJ,8/16/2022,Other,46,No
6615-NGGZJ,1/17/2022,Technical,11,Yes
3211-ILJTT,12/14/2022,Other,25,Yes
3211-ILJTT,1/27/2022,Contract,21,Yes
1353-LJWEM,8/11/2022,Billing,33,No
1353-LJWEM,5/23/2022,Other,36,No
1353-LJWEM,4/27/2022,Billing,15,No
5724-BIDBU,5/26/2022,Contract,57,Yes
6080-TCMYC,4/29/2022,Billing,49,No
0674-EYYZV,11/5/2022,Other,35,Yes
7359-PTSXY,11/28/2022,Technical,57,Yes
7359-PTSXY,12/13/2022,Contract,50,Yes
7359-PTSXY,12/20/2022,Other,27,No
7359-PTSXY,6/10/2022,Other,35,No
7359-PTSXY,1/3/2022,Contract,49,No
3211-AAPKX,6/2/2022,Technical,51,No
3211-AAPKX,3/9/2022,Contract,37,No
3211-AAPKX,9/29/2022,Billing,26,No
8690-ZVLCL,10/15/2022,Other,30,Yes
8690-ZVLCL,5/22/2022,Technical,35,No
8690-ZVLCL,9/12/2022,Other,42,Yes
8690-ZVLCL,1/18/2022,Billing,58,Yes
0295-PPHDO,4/3/2022,Billing,52,No
6646-VRFOL,9/29/2022,Billing,49,Yes
6646-VRFOL,1/23/2022,Billing,23,No
6646-VRFOL,1/12/2022,Other,35,No
6646-VRFOL,8/26/2022,Other,28,Yes
6646-VRFOL,1/4/2022,Other,20,Yes
7298-IZWLY,8/25/2022,Technical,25,No
7298-IZWLY,3/14/2022,Billing,30,No
7636-PEPNS,6/1/2022,Technical,11,Yes
7636-PEPNS,7/24/2022,Other,5,Yes
7636-PEPNS,11/25/2022,Contract,32,No
7636-PEPNS,12/16/2022,Billing,55,Yes
7636-PEPNS,3/1/2022,Contract,13,No
2522-WLNSF,12/18/2022,Technical,41,Yes
0909-SDHNU,3/25/2022,Billing,32,Yes
0909-SDHNU,6/10/2022,Other,17,No
0909-SDHNU,10/22/2022,Other,22,No
3969-JQABI,5/23/2022,Other,13,No
3969-JQABI,7/26/2022,Contract,52,No
3969-JQABI,3/21/2022,Billing,54,No
3969-JQABI,2/4/2022,Contract,45,Yes
3969-JQABI,7/18/2022,Technical,11,No
1304-SEGFY,5/21/2022,Contract,31,No
1304-SEGFY,3/15/2022,Other,48,No
1304-SEGFY,9/5/2022,Billing,51,No
2277-BKJKN,7/23/2022,Contract,38,No
9411-TPQQV,3/16/2022,Billing,56,No
9411-TPQQV,3/17/2022,Other,39,Yes
9411-TPQQV,7/18/2022,Contract,58,Yes
9411-TPQQV,5/4/2022,Technical,36,No
